,Number_filters,Filter_size,Number_deepNeurons,AUROC
0,1,1,2,0.725376
1,1,1,2,0.6062719999999999
2,1,1,2,0.738944
3,1,1,4,0.7922560000000001
4,1,1,4,0.798848
5,1,1,4,0.645312
6,1,1,6,0.705728
7,1,1,6,0.568
8,1,1,6,0.7468800000000001
9,1,1,8,0.684928
10,1,1,8,0.7626879999999999
11,1,1,8,0.6631040000000001
12,1,1,10,0.6313599999999999
13,1,1,10,0.7710079999999999
14,1,1,10,0.835328
15,1,1,12,0.867008
16,1,1,12,0.7606400000000001
17,1,1,12,0.6796800000000001
18,1,1,14,0.764864
19,1,1,14,0.7226239999999999
20,1,1,14,0.659328
21,1,1,16,0.65856
22,1,1,16,0.7863039999999999
23,1,1,16,0.688832
24,1,1,18,0.719808
25,1,1,18,0.740736
26,1,1,18,0.823936
27,1,2,2,0.76352
28,1,2,2,0.672512
29,1,2,2,0.841472
30,1,2,4,0.8196479999999999
31,1,2,4,0.692032
32,1,2,4,0.78272
33,1,2,6,0.742656
34,1,2,6,0.8311040000000001
35,1,2,6,0.712896
36,1,2,8,0.760064
37,1,2,8,0.814912
38,1,2,8,0.8062079999999999
39,1,2,10,0.63936
40,1,2,10,0.784192
41,1,2,10,0.82944
42,1,2,12,0.807936
43,1,2,12,0.7913600000000001
44,1,2,12,0.853248
45,1,2,14,0.778432
46,1,2,14,0.7950719999999999
47,1,2,14,0.836992
48,1,2,16,0.8740479999999999
49,1,2,16,0.833024
50,1,2,16,0.8668159999999999
51,1,2,18,0.851008
52,1,2,18,0.6696960000000001
53,1,2,18,0.890624
54,1,3,2,0.797376
55,1,3,2,0.865344
56,1,3,2,0.8351999999999999
57,1,3,4,0.72832
58,1,3,4,0.805696
59,1,3,4,0.8953599999999999
60,1,3,6,0.792
61,1,3,6,0.89952
62,1,3,6,0.8184960000000001
63,1,3,8,0.7891839999999999
64,1,3,8,0.8395520000000001
65,1,3,8,0.927168
66,1,3,10,0.88864
67,1,3,10,0.83168
68,1,3,10,0.88064
69,1,3,12,0.8458239999999999
70,1,3,12,0.834176
71,1,3,12,0.869248
